time_iso8601,forks_cumulative
2014-10-08 00:00:00+00:00,1
2015-02-20 00:00:00+00:00,2
2016-07-07 00:00:00+00:00,3
2017-01-05 00:00:00+00:00,4
2017-11-02 00:00:00+00:00,5
2017-12-01 00:00:00+00:00,6
2019-04-11 00:00:00+00:00,7
2019-04-19 00:00:00+00:00,8
2019-07-04 00:00:00+00:00,9
2019-07-17 00:00:00+00:00,11
2019-07-25 00:00:00+00:00,12
2019-08-23 00:00:00+00:00,13
2019-10-21 00:00:00+00:00,14
2019-11-08 00:00:00+00:00,15
2020-01-30 00:00:00+00:00,16
2020-02-09 00:00:00+00:00,18
2020-05-06 00:00:00+00:00,19
2020-06-03 00:00:00+00:00,20
2020-09-11 00:00:00+00:00,21
2020-11-22 00:00:00+00:00,22
2021-07-21 00:00:00+00:00,23
2021-11-10 00:00:00+00:00,24
2021-12-25 00:00:00+00:00,25
2022-01-28 00:00:00+00:00,26
2022-04-19 00:00:00+00:00,27
2022-05-28 00:00:00+00:00,28
2022-08-01 00:00:00+00:00,29
2022-08-31 00:00:00+00:00,30
2022-09-17 00:00:00+00:00,31
2022-12-01 00:00:00+00:00,32
2023-05-18 00:00:00+00:00,33
2023-05-20 00:00:00+00:00,34
2023-10-14 00:00:00+00:00,35
2023-10-23 00:00:00+00:00,36
2024-03-15 00:00:00+00:00,37
2024-04-26 00:00:00+00:00,38
