time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-06 00:00:00+00:00,10.0,7.0,6,5
2025-01-07 00:00:00+00:00,117.0,22.0,31,13
2025-01-08 00:00:00+00:00,22.0,20.0,13,8
2025-01-09 00:00:00+00:00,201.0,35.0,21,11
2025-01-10 00:00:00+00:00,78.0,15.0,34,13
2025-01-11 00:00:00+00:00,13.0,9.0,19,4
2025-01-12 00:00:00+00:00,10.0,5.0,31,10
2025-01-13 00:00:00+00:00,128.0,28.0,82,15
2025-01-14 00:00:00+00:00,15.0,14.0,39,14
2025-01-15 00:00:00+00:00,20.0,16.0,57,16
2025-01-16 00:00:00+00:00,20.0,14.0,25,13
2025-01-17 00:00:00+00:00,37.0,24.0,20,11
2025-01-18 00:00:00+00:00,45.0,28.0,3,2
2025-01-19 00:00:00+00:00,32.0,27.0,9,4
2025-01-20 00:00:00+00:00,,,10,6
