time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-06 00:00:00+00:00,77,70,6,2
2024-05-07 00:00:00+00:00,84,74,29,10
2024-05-08 00:00:00+00:00,69,55,29,11
2024-05-09 00:00:00+00:00,87,81,46,9
2024-05-10 00:00:00+00:00,114,100,39,13
2024-05-11 00:00:00+00:00,98,87,4,4
2024-05-12 00:00:00+00:00,65,61,3,3
2024-05-13 00:00:00+00:00,121,96,49,12
2024-05-14 00:00:00+00:00,61,41,24,12
2024-05-15 00:00:00+00:00,44,15,88,9
2024-05-16 00:00:00+00:00,31,15,18,9
2024-05-17 00:00:00+00:00,102,91,23,11
2024-05-18 00:00:00+00:00,4,4,8,4
2024-05-19 00:00:00+00:00,3,3,21,1
2024-05-20 00:00:00+00:00,7,7,19,9
2024-05-21 00:00:00+00:00,114,100,74,14
2024-05-22 00:00:00+00:00,244,132,125,25
2024-05-23 00:00:00+00:00,194,155,31,12
2024-05-24 00:00:00+00:00,146,120,32,13
2024-05-25 00:00:00+00:00,167,35,17,3
2024-05-26 00:00:00+00:00,114,62,68,8
2024-05-27 00:00:00+00:00,61,57,64,14
2024-05-28 00:00:00+00:00,88,63,92,19
2024-05-29 00:00:00+00:00,212,76,49,17
2024-05-30 00:00:00+00:00,53,28,22,12
2024-05-31 00:00:00+00:00,42,39,127,14
2024-06-01 00:00:00+00:00,18,7,8,5
2024-06-02 00:00:00+00:00,8,6,19,6
2024-06-03 00:00:00+00:00,24,22,48,12
2024-06-04 00:00:00+00:00,27,19,66,14
2024-06-05 00:00:00+00:00,126,33,25,12
2024-06-06 00:00:00+00:00,49,32,34,6
2024-06-07 00:00:00+00:00,26,16,68,14
2024-06-08 00:00:00+00:00,6,5,6,3
2024-06-09 00:00:00+00:00,112,50,18,10
2024-06-10 00:00:00+00:00,387,173,64,19
2024-06-11 00:00:00+00:00,274,111,110,28
2024-06-12 00:00:00+00:00,147,38,56,36
2024-06-13 00:00:00+00:00,78,61,38,18
2024-06-14 00:00:00+00:00,80,69,32,16
2024-06-15 00:00:00+00:00,9,8,13,2
2024-06-16 00:00:00+00:00,15,14,16,4
2024-06-17 00:00:00+00:00,16,14,32,14
2024-06-18 00:00:00+00:00,226,161,21,12
2024-06-19 00:00:00+00:00,50,41,113,16
2024-06-20 00:00:00+00:00,38,29,63,13
2024-06-21 00:00:00+00:00,71,65,38,18
2024-06-22 00:00:00+00:00,19,16,8,3
2024-06-23 00:00:00+00:00,38,35,7,3
2024-06-24 00:00:00+00:00,30,19,28,10
2024-06-25 00:00:00+00:00,37,21,56,11
2024-06-26 00:00:00+00:00,34,25,32,15
2024-06-27 00:00:00+00:00,49,32,28,10
2024-06-28 00:00:00+00:00,32,23,147,13
2024-06-29 00:00:00+00:00,5,4,6,5
2024-06-30 00:00:00+00:00,7,7,52,8
2024-07-01 00:00:00+00:00,20,17,15,6
2024-07-02 00:00:00+00:00,16,11,28,13
2024-07-03 00:00:00+00:00,40,29,34,10
2024-07-04 00:00:00+00:00,10,9,75,14
2024-07-05 00:00:00+00:00,8,5,89,11
2024-07-06 00:00:00+00:00,6,5,42,4
2024-07-07 00:00:00+00:00,28,23,30,9
2024-07-08 00:00:00+00:00,20,18,39,11
2024-07-09 00:00:00+00:00,25,20,62,13
2024-07-10 00:00:00+00:00,11,10,35,11
2024-07-11 00:00:00+00:00,16,7,122,17
2024-07-12 00:00:00+00:00,29,27,81,15
2024-07-13 00:00:00+00:00,27,22,15,8
2024-07-14 00:00:00+00:00,11,9,3,3
2024-07-15 00:00:00+00:00,36,33,37,7
2024-07-16 00:00:00+00:00,104,20,26,6
2024-07-17 00:00:00+00:00,29,24,50,9
2024-07-18 00:00:00+00:00,13,12,85,11
2024-07-19 00:00:00+00:00,43,12,83,16
2024-07-20 00:00:00+00:00,26,7,17,4
2024-07-21 00:00:00+00:00,2,2,5,5
2024-07-22 00:00:00+00:00,12,12,31,9
2024-07-23 00:00:00+00:00,131,12,15,6
2024-07-24 00:00:00+00:00,178,26,60,15
2024-07-25 00:00:00+00:00,82,23,155,18
2024-07-26 00:00:00+00:00,12,11,19,9
2024-07-27 00:00:00+00:00,6,5,12,5
2024-07-28 00:00:00+00:00,2,2,39,8
2024-07-29 00:00:00+00:00,14,11,53,10
2024-07-30 00:00:00+00:00,64,8,73,12
2024-07-31 00:00:00+00:00,12,11,105,17
2024-08-01 00:00:00+00:00,15,8,16,10
2024-08-02 00:00:00+00:00,14,13,23,10
