time_iso8601,forks_cumulative
2015-02-14 00:00:00+00:00,1
2015-02-20 00:00:00+00:00,2
2015-02-21 00:00:00+00:00,3
2015-03-01 00:00:00+00:00,4
2015-04-01 00:00:00+00:00,5
2015-04-20 00:00:00+00:00,6
2015-04-30 00:00:00+00:00,7
2015-06-09 00:00:00+00:00,8
2016-01-29 00:00:00+00:00,9
2016-02-01 00:00:00+00:00,10
2016-02-10 00:00:00+00:00,11
2016-03-02 00:00:00+00:00,12
2016-05-19 00:00:00+00:00,13
2016-08-05 00:00:00+00:00,14
2016-09-21 00:00:00+00:00,15
2017-06-27 00:00:00+00:00,16
2017-11-09 00:00:00+00:00,17
2017-12-07 00:00:00+00:00,18
2017-12-21 00:00:00+00:00,19
2018-01-09 00:00:00+00:00,20
2018-03-25 00:00:00+00:00,21
2018-04-13 00:00:00+00:00,22
2018-04-23 00:00:00+00:00,23
2018-05-27 00:00:00+00:00,24
2018-06-18 00:00:00+00:00,25
2018-06-27 00:00:00+00:00,26
2018-07-04 00:00:00+00:00,27
2018-07-11 00:00:00+00:00,28
2018-07-27 00:00:00+00:00,29
2018-09-24 00:00:00+00:00,30
2018-09-27 00:00:00+00:00,31
2018-10-17 00:00:00+00:00,32
2018-11-07 00:00:00+00:00,33
2018-11-09 00:00:00+00:00,34
2018-12-27 00:00:00+00:00,35
2019-01-21 00:00:00+00:00,36
2019-02-07 00:00:00+00:00,37
2019-02-13 00:00:00+00:00,38
2019-02-14 00:00:00+00:00,39
2019-02-21 00:00:00+00:00,40
2019-02-25 00:00:00+00:00,41
2019-02-28 00:00:00+00:00,42
2019-03-14 00:00:00+00:00,43
2019-05-15 00:00:00+00:00,44
2019-05-27 00:00:00+00:00,45
2019-05-28 00:00:00+00:00,46
2019-06-13 00:00:00+00:00,47
2019-06-17 00:00:00+00:00,48
2019-06-20 00:00:00+00:00,49
2019-07-11 00:00:00+00:00,50
2019-07-27 00:00:00+00:00,51
2019-07-31 00:00:00+00:00,52
2019-08-18 00:00:00+00:00,53
2019-09-11 00:00:00+00:00,54
2019-09-17 00:00:00+00:00,55
2019-09-24 00:00:00+00:00,56
2019-10-05 00:00:00+00:00,57
2019-10-17 00:00:00+00:00,58
2019-10-31 00:00:00+00:00,59
2019-11-05 00:00:00+00:00,60
2019-11-18 00:00:00+00:00,61
2019-11-21 00:00:00+00:00,62
2019-12-10 00:00:00+00:00,63
2019-12-27 00:00:00+00:00,64
2019-12-31 00:00:00+00:00,65
2020-01-07 00:00:00+00:00,66
2020-02-09 00:00:00+00:00,67
2020-02-15 00:00:00+00:00,68
2020-02-17 00:00:00+00:00,69
2020-02-20 00:00:00+00:00,70
2020-04-07 00:00:00+00:00,72
2020-04-22 00:00:00+00:00,73
2020-04-24 00:00:00+00:00,74
2020-04-25 00:00:00+00:00,75
2020-04-28 00:00:00+00:00,76
2020-05-06 00:00:00+00:00,77
2020-05-07 00:00:00+00:00,78
2020-05-12 00:00:00+00:00,79
2020-05-19 00:00:00+00:00,80
2020-05-28 00:00:00+00:00,81
2020-06-03 00:00:00+00:00,82
2020-06-11 00:00:00+00:00,83
2020-06-17 00:00:00+00:00,84
2020-06-28 00:00:00+00:00,85
2020-07-07 00:00:00+00:00,86
2020-07-24 00:00:00+00:00,87
2020-07-27 00:00:00+00:00,88
2020-07-30 00:00:00+00:00,89
2020-08-04 00:00:00+00:00,90
2020-08-08 00:00:00+00:00,91
2020-08-20 00:00:00+00:00,92
2020-09-03 00:00:00+00:00,93
2020-09-16 00:00:00+00:00,94
2020-09-22 00:00:00+00:00,95
2020-09-26 00:00:00+00:00,96
2020-10-06 00:00:00+00:00,97
2020-10-09 00:00:00+00:00,98
2020-10-14 00:00:00+00:00,99
2020-10-19 00:00:00+00:00,100
2020-10-21 00:00:00+00:00,101
2020-10-22 00:00:00+00:00,102
2020-11-11 00:00:00+00:00,103
2020-11-13 00:00:00+00:00,104
2020-11-18 00:00:00+00:00,108
2020-11-24 00:00:00+00:00,110
2020-11-25 00:00:00+00:00,111
2020-12-01 00:00:00+00:00,112
2020-12-04 00:00:00+00:00,113
2020-12-10 00:00:00+00:00,114
2020-12-19 00:00:00+00:00,115
2021-01-05 00:00:00+00:00,117
2021-01-06 00:00:00+00:00,118
2021-01-07 00:00:00+00:00,119
2021-01-11 00:00:00+00:00,120
2021-01-13 00:00:00+00:00,121
2021-01-17 00:00:00+00:00,123
2021-01-19 00:00:00+00:00,124
2021-01-24 00:00:00+00:00,125
2021-02-05 00:00:00+00:00,126
2021-02-06 00:00:00+00:00,127
2021-03-02 00:00:00+00:00,128
2021-03-04 00:00:00+00:00,129
2021-03-10 00:00:00+00:00,130
2021-03-30 00:00:00+00:00,131
2021-04-03 00:00:00+00:00,132
2021-04-07 00:00:00+00:00,133
2021-05-05 00:00:00+00:00,134
2021-05-07 00:00:00+00:00,136
2021-05-11 00:00:00+00:00,137
2021-05-16 00:00:00+00:00,138
2021-06-08 00:00:00+00:00,139
2021-06-10 00:00:00+00:00,140
2021-06-19 00:00:00+00:00,141
2021-07-26 00:00:00+00:00,142
2021-07-27 00:00:00+00:00,143
2021-07-30 00:00:00+00:00,144
2021-08-02 00:00:00+00:00,145
2021-08-03 00:00:00+00:00,146
2021-08-05 00:00:00+00:00,147
2021-08-11 00:00:00+00:00,148
2021-08-18 00:00:00+00:00,149
2021-08-23 00:00:00+00:00,150
2021-08-26 00:00:00+00:00,151
2021-08-27 00:00:00+00:00,152
2021-08-31 00:00:00+00:00,153
2021-09-03 00:00:00+00:00,154
2021-09-14 00:00:00+00:00,155
2021-09-18 00:00:00+00:00,156
2021-09-24 00:00:00+00:00,157
2021-09-30 00:00:00+00:00,159
2021-10-21 00:00:00+00:00,160
2021-10-28 00:00:00+00:00,161
2021-11-08 00:00:00+00:00,162
2021-11-10 00:00:00+00:00,163
2021-11-15 00:00:00+00:00,164
2021-11-16 00:00:00+00:00,165
2021-11-21 00:00:00+00:00,166
2021-11-22 00:00:00+00:00,167
2021-12-08 00:00:00+00:00,168
2021-12-15 00:00:00+00:00,169
2021-12-17 00:00:00+00:00,170
2021-12-21 00:00:00+00:00,171
2021-12-23 00:00:00+00:00,172
2022-01-02 00:00:00+00:00,173
2022-01-03 00:00:00+00:00,174
2022-01-04 00:00:00+00:00,175
2022-01-05 00:00:00+00:00,176
2022-01-11 00:00:00+00:00,177
2022-01-28 00:00:00+00:00,178
2022-01-31 00:00:00+00:00,179
2022-02-02 00:00:00+00:00,180
2022-02-13 00:00:00+00:00,181
2022-02-18 00:00:00+00:00,182
