time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-06 00:00:00+00:00,92,81,147,30
2024-05-07 00:00:00+00:00,189,116,829,168
2024-05-08 00:00:00+00:00,178,106,809,180
2024-05-09 00:00:00+00:00,168,119,800,153
2024-05-10 00:00:00+00:00,218,157,699,148
2024-05-11 00:00:00+00:00,158,121,398,90
2024-05-12 00:00:00+00:00,84,72,282,65
2024-05-13 00:00:00+00:00,274,177,739,147
2024-05-14 00:00:00+00:00,279,157,862,164
2024-05-15 00:00:00+00:00,204,108,771,143
2024-05-16 00:00:00+00:00,186,114,997,149
2024-05-17 00:00:00+00:00,423,209,951,157
2024-05-18 00:00:00+00:00,65,38,546,86
2024-05-19 00:00:00+00:00,47,28,462,69
2024-05-20 00:00:00+00:00,116,72,745,169
2024-05-21 00:00:00+00:00,380,200,641,157
2024-05-22 00:00:00+00:00,362,207,1018,155
2024-05-23 00:00:00+00:00,546,272,1499,184
2024-05-24 00:00:00+00:00,466,246,1392,156
2024-05-25 00:00:00+00:00,81,56,468,80
2024-05-26 00:00:00+00:00,94,78,601,80
2024-05-27 00:00:00+00:00,356,168,1405,253
2024-05-28 00:00:00+00:00,192,124,1506,305
2024-05-29 00:00:00+00:00,360,181,2155,258
2024-05-30 00:00:00+00:00,378,124,1190,206
2024-05-31 00:00:00+00:00,239,157,1153,175
2024-06-01 00:00:00+00:00,97,47,430,86
2024-06-02 00:00:00+00:00,63,32,447,86
2024-06-03 00:00:00+00:00,257,152,1504,184
2024-06-04 00:00:00+00:00,350,151,1396,214
2024-06-05 00:00:00+00:00,373,200,1333,179
2024-06-06 00:00:00+00:00,319,166,789,163
2024-06-07 00:00:00+00:00,274,154,1007,174
2024-06-08 00:00:00+00:00,3828,35,184,74
2024-06-09 00:00:00+00:00,126,84,441,71
2024-06-10 00:00:00+00:00,544,352,1198,155
2024-06-11 00:00:00+00:00,983,175,1327,180
2024-06-12 00:00:00+00:00,637,106,1249,178
2024-06-13 00:00:00+00:00,296,115,1170,175
2024-06-14 00:00:00+00:00,343,126,1090,150
2024-06-15 00:00:00+00:00,164,43,310,61
2024-06-16 00:00:00+00:00,63,48,263,63
2024-06-17 00:00:00+00:00,280,93,921,184
2024-06-18 00:00:00+00:00,809,288,1378,167
2024-06-19 00:00:00+00:00,161,102,1544,197
2024-06-20 00:00:00+00:00,363,138,1424,211
2024-06-21 00:00:00+00:00,318,182,1083,166
2024-06-22 00:00:00+00:00,106,52,284,67
2024-06-23 00:00:00+00:00,111,97,639,105
2024-06-24 00:00:00+00:00,284,83,1284,187
2024-06-25 00:00:00+00:00,125,68,1162,201
2024-06-26 00:00:00+00:00,135,57,1023,201
2024-06-27 00:00:00+00:00,92,67,1200,204
2024-06-28 00:00:00+00:00,61,45,852,165
2024-06-29 00:00:00+00:00,46,32,398,86
2024-06-30 00:00:00+00:00,30,22,434,77
2024-07-01 00:00:00+00:00,13,12,236,46
