time_iso8601,forks_cumulative
2017-11-24 00:00:00+00:00,1
2017-12-07 00:00:00+00:00,2
2018-01-17 00:00:00+00:00,3
2018-01-31 00:00:00+00:00,4
2018-06-11 00:00:00+00:00,5
2018-07-25 00:00:00+00:00,6
2018-11-16 00:00:00+00:00,7
2018-12-09 00:00:00+00:00,8
2018-12-20 00:00:00+00:00,9
2019-01-26 00:00:00+00:00,10
2019-01-28 00:00:00+00:00,12
2019-03-07 00:00:00+00:00,13
2019-04-12 00:00:00+00:00,14
2019-04-17 00:00:00+00:00,15
2019-04-19 00:00:00+00:00,16
2019-05-15 00:00:00+00:00,17
2019-06-30 00:00:00+00:00,18
2019-10-16 00:00:00+00:00,19
2019-10-23 00:00:00+00:00,20
2020-02-09 00:00:00+00:00,21
2020-03-31 00:00:00+00:00,22
2020-04-20 00:00:00+00:00,23
2020-05-12 00:00:00+00:00,24
2020-06-28 00:00:00+00:00,25
2020-07-19 00:00:00+00:00,26
2020-08-08 00:00:00+00:00,27
2020-12-09 00:00:00+00:00,28
2021-01-24 00:00:00+00:00,30
2021-02-09 00:00:00+00:00,31
2021-03-02 00:00:00+00:00,32
2021-07-02 00:00:00+00:00,33
2021-07-30 00:00:00+00:00,34
2021-09-29 00:00:00+00:00,35
2021-10-11 00:00:00+00:00,36
2021-10-12 00:00:00+00:00,37
2021-11-23 00:00:00+00:00,38
2022-01-17 00:00:00+00:00,39
2022-03-13 00:00:00+00:00,40
2022-03-22 00:00:00+00:00,41
2022-04-03 00:00:00+00:00,42
2022-04-07 00:00:00+00:00,43
2022-05-29 00:00:00+00:00,44
2022-06-14 00:00:00+00:00,45
2022-07-15 00:00:00+00:00,46
2022-09-13 00:00:00+00:00,47
2022-09-20 00:00:00+00:00,48
2022-10-18 00:00:00+00:00,49
2022-11-08 00:00:00+00:00,50
2023-01-19 00:00:00+00:00,52
2023-01-27 00:00:00+00:00,53
2023-02-01 00:00:00+00:00,54
2023-02-10 00:00:00+00:00,55
2023-02-24 00:00:00+00:00,56
2023-03-05 00:00:00+00:00,57
2023-06-27 00:00:00+00:00,58
2023-07-31 00:00:00+00:00,59
2023-11-10 00:00:00+00:00,60
2023-12-07 00:00:00+00:00,61
2024-01-08 00:00:00+00:00,62
2024-01-24 00:00:00+00:00,63
2024-01-30 00:00:00+00:00,64
2024-03-13 00:00:00+00:00,65
2024-03-21 00:00:00+00:00,66
2024-03-26 00:00:00+00:00,67
2024-04-15 00:00:00+00:00,68
