time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-07 00:00:00+00:00,7,5,37,9
2024-05-08 00:00:00+00:00,5,5,128,15
2024-05-09 00:00:00+00:00,2,2,43,6
2024-05-10 00:00:00+00:00,5,4,149,12
2024-05-11 00:00:00+00:00,2,2,30,6
2024-05-12 00:00:00+00:00,4,3,23,7
2024-05-13 00:00:00+00:00,32,7,37,7
2024-05-14 00:00:00+00:00,4,4,92,15
2024-05-15 00:00:00+00:00,3,2,437,15
2024-05-16 00:00:00+00:00,9,6,24,13
2024-05-17 00:00:00+00:00,5,4,141,15
2024-05-18 00:00:00+00:00,2,2,5,5
2024-05-19 00:00:00+00:00,0,0,5,3
2024-05-20 00:00:00+00:00,2,2,53,12
2024-05-21 00:00:00+00:00,4,4,23,9
2024-05-22 00:00:00+00:00,2,2,8,4
